mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
16.0,29.5,76.0,12.5,7.0,29.725,72.625,0.5
16.0,29.8,74.0,12.5,7.0,29.9,72.25,0.5
17.0,29.8,74.0,12.5,7.0,29.9,72.25,0.642857143
15.5,29.8,74.0,12.5,7.0,29.9,72.25,0.428571429
16.0,29.8,74.0,12.0,7.0,29.9,72.25,0.571428571
18.5,29.8,74.0,12.0,7.0,29.9,72.25,0.928571429
15.0,29.8,74.0,12.0,7.0,29.9,72.25,0.428571429
15.5,32.3,74.0,13.5,7.0,30.8,72.0,0.357142857
16.5,32.3,74.0,13.5,7.0,30.8,72.0,0.428571429
16.0,32.3,74.0,13.0,7.0,30.8,72.0,0.428571429
16.0,32.3,74.0,13.5,7.0,30.8,72.0,0.357142857
18.0,32.3,74.0,13.5,7.0,30.8,72.0,0.642857143
16.5,32.3,74.0,13.0,7.0,30.8,72.0,0.5
17.0,32.3,74.0,13.0,7.0,30.8,72.0,0.571428571
17.5,32.3,74.0,13.0,7.0,30.8,72.0,0.642857143
15.5,32.3,74.0,13.5,7.0,30.8,72.0,0.285714286
15.5,32.3,74.0,12.5,7.0,30.8,72.0,0.428571429
15.5,32.3,74.0,12.5,7.0,30.8,72.0,0.357142857
16.0,32.3,74.0,12.5,7.0,30.8,72.0,0.428571429
15.5,32.3,74.0,13.0,7.0,30.8,72.0,0.357142857
15.0,29.7,69.0,13.5,7.03,29.85,69.75,0.213270142
17.0,29.7,69.0,13.5,7.03,29.85,69.75,0.426540284
15.5,29.7,69.0,13.0,7.03,29.85,69.75,0.355450237
15.5,29.7,69.0,12.5,7.03,29.85,69.75,0.426540284
15.5,29.7,69.0,12.0,7.03,29.85,69.75,0.497630332
15.5,29.7,69.0,12.5,7.03,29.85,69.75,0.355450237
16.5,29.7,69.0,13.0,7.03,29.85,69.75,0.497630332
16.0,29.7,69.0,12.5,7.03,29.85,69.75,0.497630332
15.5,29.7,69.0,13.0,7.03,29.85,69.75,0.28436019
15.5,29.7,69.0,13.5,7.03,29.85,69.75,0.213270142
16.5,29.7,69.0,12.5,7.03,29.85,69.75,0.497630332
16.0,29.7,69.0,12.0,7.03,29.85,69.75,0.568720379
15.5,30.0,71.0,12.5,7.0,30.45,69.75,0.285714286
17.0,30.0,71.0,12.5,7.0,30.45,69.75,0.642857143
18.5,30.0,71.0,12.5,7.0,30.45,69.75,0.714285714
17.0,30.0,71.0,12.5,7.0,30.45,69.75,0.571428571
16.5,30.0,71.0,12.5,7.0,30.45,69.75,0.428571429
17.0,30.0,71.0,12.0,7.0,30.45,69.75,0.714285714
16.0,30.0,71.0,12.5,7.0,30.45,69.75,0.428571429
17.0,30.0,71.0,12.5,7.0,30.45,69.75,0.5
18.0,30.0,71.0,12.5,7.0,30.45,69.75,0.714285714
16.5,30.0,71.0,12.5,7.0,30.45,69.75,0.571428571
16.5,30.0,71.0,13.0,7.0,30.45,69.75,0.5
17.5,30.0,71.0,13.0,7.0,30.45,69.75,0.642857143
17.0,30.1,70.0,13.0,7.0,33.0375,69.125,0.571428571
16.5,30.1,70.0,13.5,7.0,33.0375,69.125,0.428571429
16.5,30.1,70.0,13.0,7.0,33.0375,69.125,0.5
16.0,30.1,70.0,13.5,7.0,33.0375,69.125,0.357142857
15.5,30.1,70.0,13.0,7.0,33.0375,69.125,0.357142857
15.5,30.1,70.0,12.5,7.0,33.0375,69.125,0.428571429
16.5,30.1,70.0,13.0,7.0,33.0375,69.125,0.428571429
16.0,30.1,70.0,13.0,7.0,33.0375,69.125,0.428571429
23.0,30.1,70.0,13.0,7.0,33.0375,69.125,1.428571429
16.0,30.1,70.0,13.0,7.0,33.0375,69.125,0.357142857
15.5,30.1,70.0,13.5,7.0,33.0375,69.125,0.285714286
18.0,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.753768844
16.0,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.452261307
16.0,31.2,68.0,13.5,6.63,30.38571429,71.85714286,0.376884422
15.0,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.301507538
16.5,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.527638191
15.5,31.2,68.0,13.5,6.63,30.38571429,71.85714286,0.301507538
15.5,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.376884422
17.0,31.2,68.0,13.0,6.63,30.38571429,71.85714286,0.603015075
17.5,31.2,68.0,13.5,6.63,30.38571429,71.85714286,0.603015075
16.5,31.2,64.0,13.5,6.0,30.64285714,71.42857143,0.5
17.5,31.2,64.0,13.0,6.0,30.64285714,71.42857143,0.75
17.0,31.2,64.0,14.0,6.0,30.64285714,71.42857143,0.5
15.5,31.2,64.0,12.5,6.0,30.64285714,71.42857143,0.5
18.5,31.2,64.0,13.5,6.0,30.64285714,71.42857143,0.833333333
15.5,31.2,64.0,13.5,6.0,30.64285714,71.42857143,0.333333333
16.0,31.2,64.0,13.0,6.0,30.64285714,71.42857143,0.5
17.0,31.2,64.0,13.0,6.0,30.64285714,71.42857143,0.666666667
16.0,31.2,64.0,14.0,6.0,30.64285714,71.42857143,0.333333333
15.5,31.2,64.0,14.0,6.0,30.64285714,71.42857143,0.25
16.0,31.2,64.0,13.5,6.0,30.64285714,71.42857143,0.416666667
16.5,31.1,67.0,14.0,6.0,30.27142857,70.85714286,0.416666667
